0.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,24.0,26.0,28.0,30.0,31.0,41.0,42.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,58.0,60.0,62.0,63.0,77.0,80.0,85.0,251.0,252.0,253.0,254.0,255.0
0.99908,0.99025,0.99961,0.98763,0.97928,0.9788,0.99156,0.98907,0.99915,0.95071,0.93673,0.94254,0.97993,0.9933,0.99792,0.95763,0.98469,0.98216,0.98022,0.85635,0.92322,0.98513,0.99535,0.99569,0.86621,0.9552,0.99027,0.99696,0.99404,0.9933,0.90126,0.98494,0.96098,0.95782,0.99786,0.125,0.98534,0.89555,0.17647,0.95429,0.98683,0.99094,0.98008,0.98244,0.98387
17000527,750281,894689,5903,820,41595,161491,27915,10610,16067,3983,1253,3537,58845,14879,4932,2155,2073,12842,90,3308,779727,913089,4180,882,40115,156035,25626,9907,15662,3453,14613,4921,2276,12164,16,3546,7285,34,700,3038,1546,2259,1993,2728
0.99982,0.9975,0.99289,0.98893,0.95477,0.99348,0.99928,0.91397,0.9945,0.93531,0.97277,0.9101,0.99183,0.99922,0.96431,0.88134,0.92218,0.9602,0.9892,0.7913,0.98718,0.99792,0.99823,0.94576,0.95411,0.98172,0.99734,0.98866,0.97646,0.97912,0.98173,0.98918,0.99231,0.89588,0.99487,0.9802,0.88445,0.93041,0.73333,0.88651,0.98168,0.996,0.93386,0.99164,0.97561
17401310,608942,855090,13545,398,36336,148505,23410,10913,16340,4517,1802,4653,56373,14598,4626,3045,1759,12864,115,3667,622545,878714,9918,1264,35507,149021,21600,10621,16332,4489,14320,4553,2026,13638,101,3756,2773,15,396,2292,1248,1466,1315,2870
0.99997,0.98491,0.99054,0.97906,0.98218,0.97297,0.99179,0.96291,0.97611,0.98925,0.93614,0.95954,0.99134,0.99294,0.9854,0.94164,0.98418,0.93429,0.99214,0.61589,0.97904,0.99373,0.99274,0.9824,0.98433,0.98768,0.99228,0.91436,0.99854,0.98714,0.92499,0.99979,0.99548,0.97441,0.93998,0.83117,0.94669,0.79848,0.17647,0.90385,0.98293,0.95474,0.97997,0.99563,0.98893
17399288,657066,781096,25075,449,39397,154610,24430,13393,18601,4134,2521,7046,59023,13839,4147,3666,1674,12339,151,4961,665438,798142,27671,383,39942,155390,20820,13678,17183,4572,14189,4204,1914,12079,308,4577,4262,17,832,3691,1303,1447,1603,2981
0.99966,0.99911,0.99666,0.99791,1.0,0.97208,0.96537,0.9851,0.98741,0.97925,0.99246,0.99645,0.98486,0.99358,0.99387,0.9505,0.90359,0.81189,0.998,0.69512,0.97419,0.98025,0.98971,0.9969,0.91733,0.98485,0.99834,0.9721,0.97887,0.99132,0.97924,0.95972,0.94352,0.94804,0.9875,0.88649,0.96517,0.9234,0.96491,0.8011,0.99389,0.98721,0.98697,0.98923,0.99856
17595312,606786,773482,11510,426,32340,144241,21611,11913,19083,4246,1126,4360,51279,12887,4222,2437,1850,11522,328,3177,630841,779500,8069,689,32419,153480,22042,12823,18209,4382,12464,4479,2194,12082,625,3875,1436,28,638,2782,1172,1228,1206,2787
0.99948,0.99859,0.99651,0.99369,0.94228,0.99392,0.99264,0.98152,0.99165,0.99636,0.97674,0.97782,0.9768,0.99987,0.98856,0.96335,0.97738,0.98278,0.99042,0.88142,0.93475,0.9919,0.98712,0.96244,0.41304,0.94976,0.98217,0.97807,0.99366,0.9906,0.91139,0.99922,0.91141,0.9586,0.99521,0.92933,0.95867,0.87921,0.04478,0.79289,0.97363,0.95766,0.95537,0.93934,0.96594
17262338,677503,832986,20114,589,44047,158652,24129,12691,18969,5330,2479,4396,61817,13552,5047,3404,2090,13993,126,3172,676212,843173,15869,92,43910,162129,22840,12775,18517,5202,14093,5576,2464,13999,283,3798,2020,33,647,3034,1984,2173,2143,3171
0.99949,0.99498,0.99939,0.98822,0.93939,0.98513,0.99682,0.98723,0.98195,0.96389,0.95223,0.9751,0.98525,0.99026,0.98764,0.95413,0.96982,0.90042,0.98539,0.93014,0.93258,0.98096,0.99303,0.98903,0.95161,0.99636,0.9991,0.99713,0.99557,0.94344,0.99814,0.99618,0.9552,0.99885,0.97756,0.85639,0.99125,0.98111,0.13978,0.78906,0.99781,0.99714,0.99881,0.98519,0.99568
17655377,610926,737721,11203,346,37184,142646,23574,13242,14399,5086,1285,2712,61311,11889,4338,3081,1777,12527,386,3738,628067,746277,9478,248,37067,144423,21254,13555,13278,4851,12055,4687,1733,12074,285,4341,2964,46,630,3198,1749,1681,1620,3240
0.99961,0.99817,0.99935,0.98424,0.8999,0.99884,0.99713,0.96348,0.99901,0.97655,0.95239,0.94706,0.79359,0.98835,0.98139,0.99607,0.96528,0.96791,0.96573,0.70328,0.97112,0.99723,0.99683,0.99377,0.86992,0.9926,0.99414,0.98928,0.99502,0.98331,0.97622,0.98866,0.96061,0.90894,0.9993,0.94783,0.94841,0.94621,0.84615,0.98867,0.98025,0.91628,0.93661,0.96053,0.9826
17148636,717359,852887,13135,509,40383,155676,26859,12138,16548,4915,2323,2853,64724,13006,5344,2736,1963,14034,259,4502,733019,859531,18138,492,39308,161144,24071,12449,17857,4457,12699,5102,2053,14263,172,6087,3067,45,883,2480,967,1088,1241,2184
0.9995,0.99705,0.99826,0.99434,0.96949,0.99282,0.99469,0.99935,0.97589,0.97555,0.99058,0.94602,0.94612,0.99235,0.96911,0.97408,0.95776,0.86297,0.96483,0.93365,0.93244,0.99866,0.99413,0.99245,0.9882,0.96232,0.96643,0.93953,0.98805,0.9644,0.99113,0.98298,0.94123,0.90365,0.97793,0.84419,0.88897,0.94428,0.14286,0.87635,0.9843,0.99013,0.97649,0.98642,0.98329
17136548,629061,863867,76345,2491,41801,172966,24558,12648,17300,4566,3001,3990,62073,13662,5633,4593,1766,12594,211,5254,645372,891192,49701,1101,43015,186234,22457,12715,17499,4623,14038,5257,2055,13319,391,5827,2692,17,1019,3313,1114,1233,1399,3052
0.99949,0.99641,0.99707,0.98707,0.97104,0.99042,0.99446,0.96396,0.98604,0.91953,0.9423,0.98576,0.98233,0.97036,0.98524,0.96934,0.9621,0.93233,0.97849,0.12432,0.91684,0.99216,0.99439,0.97697,0.93726,0.9728,0.99086,0.97822,0.99687,0.9948,0.99359,0.99427,0.98502,0.95475,0.99294,0.45318,0.97816,0.83529,0.33333,0.72727,0.99476,0.99242,0.97434,0.97718,0.99695
17368315,671916,780106,19880,1139,37161,164190,24638,12323,17808,4731,2878,5886,60868,15444,4696,3588,1492,13577,185,4738,679856,794816,14288,1195,38644,169641,21580,12761,17685,4680,14479,4339,2210,12742,133,4532,2890,15,528,3241,1583,1403,1490,3281
0.99941,0.97857,0.98723,0.9881,0.92786,0.98777,0.99753,0.99437,0.96297,0.97407,0.99803,0.99144,0.98837,0.99412,0.97499,0.93509,0.98045,0.99037,0.9856,0.98077,0.94429,0.98286,0.9878,0.97666,0.91218,0.98042,0.99556,0.99688,0.99954,0.93915,0.92,0.94794,0.92687,0.9441,0.99402,0.97927,0.92197,0.93998,0.67442,0.99238,0.9993,0.98498,0.99641,0.99245,0.98331
17059438,725688,879472,9916,499,42272,160523,27354,11179,14386,3553,2220,3784,61939,15553,5191,2865,1973,13683,312,3069,759298,892742,10540,603,40848,164572,24672,10769,16204,3825,15310,5401,2075,13382,386,2845,4881,43,656,2846,1864,1671,1191,2096
0.99973,0.99298,0.99782,0.95223,0.56009,0.98445,0.99814,0.95757,0.99528,0.9636,0.8214,0.9364,0.94665,0.99068,0.9912,0.97915,0.99558,0.98246,0.96072,0.65967,0.94983,0.99787,0.99862,0.90116,0.92233,0.97056,0.99623,0.99262,0.96304,0.99805,0.93205,0.95871,0.99584,0.95063,0.9462,0.93228,0.97461,0.73362,0.664,0.70871,0.99638,0.98341,0.98483,0.99678,0.99073
17578220,665991,717881,8164,220,39029,147484,25523,11865,15302,3499,1336,5248,59562,11702,3837,2712,1710,12651,214,2950,674079,737137,5929,309,39033,149866,23571,10443,14852,4268,11771,4331,1985,12435,221,3662,3769,62,614,2763,1386,1647,1550,2804
0.99948,0.98096,0.99134,0.98257,0.95969,0.92247,0.9952,0.99739,0.99411,0.99122,0.95746,0.92677,0.99415,0.99423,0.96381,0.91304,0.93781,0.84225,0.99006,0.76344,0.96875,0.99021,0.99483,0.98484,0.93874,0.98483,0.99836,0.98118,0.9582,0.97635,0.92662,0.98658,0.99436,0.9207,0.99338,0.92,0.94292,0.97284,0.75,0.82689,0.94115,0.95752,0.80606,0.89502,0.99049
17340884,638721,881050,10900,322,32426,140353,24905,10182,14927,3079,1570,4102,53385,13456,4496,2798,1692,10360,46,4128,665370,877653,8574,555,33553,142911,22745,10001,16028,3393,13036,4785,1828,10869,112,3714,3387,16,543,2871,1671,1650,1476,3049
0.99919,0.99848,0.99106,0.97438,0.9316,0.99115,0.97951,0.90057,0.97171,0.83324,0.97993,0.91518,0.95819,0.85707,0.99769,0.9883,0.97785,0.97461,0.96428,0.45455,0.92087,0.99961,0.98957,0.97533,0.84273,0.99963,0.9751,0.9439,0.96756,0.99538,0.88911,0.99294,0.88811,0.95779,0.98777,0.90184,0.97819,0.62368,0.89474,0.63019,0.9801,0.99245,0.85319,0.97962,0.93197
17956504,532581,688894,5934,365,34114,138333,23674,10146,14488,3688,1261,2128,68488,13009,4103,1941,1299,12879,38,3842,542272,688438,5878,763,32379,138528,21246,9863,15358,3796,12744,4147,1350,12759,163,3255,2702,9,397,2311,1324,1880,1570,2734
0.99966,0.98291,0.9941,0.96861,0.46237,0.99912,0.99917,0.99077,0.99047,0.96466,0.9199,0.87743,0.82026,0.97863,0.98539,0.93498,0.95596,0.90257,0.9822,0.80282,0.97802,0.99688,0.99569,0.92674,0.75254,0.99984,0.99956,0.95897,0.94862,0.96127,0.98578,0.99905,0.95906,0.99123,0.99059,0.75251,0.91868,0.84131,0.0,0.94199,0.99859,0.99289,0.94771,0.9258,0.95903
17213758,712182,806075,6754,46,49077,170565,25897,12795,16470,4656,1313,2097,68469,13755,4737,2861,1827,13200,248,3685,734696,816930,4668,246,50225,170162,22741,12903,17274,5064,13629,5398,2052,14233,149,3148,4442,8,793,3546,2530,2601,2412,3271
0.99925,0.99278,0.99767,0.99245,0.96943,0.98969,0.99629,0.98758,0.98252,0.96012,0.84709,0.94487,0.96925,0.98665,0.99591,0.92077,0.94765,0.99429,0.98046,0.78404,0.96619,0.99741,0.99719,0.99905,0.91225,0.95246,0.99251,0.91974,0.99468,0.99216,0.96665,0.99356,0.99714,0.86893,0.96666,0.94245,0.99292,0.98865,0.66154,0.96404,0.98939,0.99459,0.96388,0.99548,0.96413
16774157,766001,964766,40953,621,35581,168619,25678,10871,17076,4780,3664,6960,58594,14174,5010,5463,1577,12540,213,4436,788694,956406,41060,330,38770,164958,22015,11845,17210,4738,13819,5236,2479,12896,278,5505,3878,32,723,3297,1110,1190,1769,3596
0.99888,0.98412,0.99555,0.97787,0.92105,0.99333,0.9968,0.9954,0.99391,0.99697,0.97203,0.70897,0.92099,0.99228,0.97572,0.97286,0.94741,0.86423,0.991,0.77994,0.94784,0.99435,0.99763,0.96486,0.98718,0.97421,0.99427,0.98741,0.98689,0.9717,0.97674,0.99205,0.93243,0.93106,0.99919,0.83019,0.8858,0.90257,0.98058,0.80519,0.98352,0.98641,0.99079,0.96559,0.97966
17683371,586830,739274,11929,380,40917,139209,21716,14283,21129,4005,914,2189,60509,9845,3352,1369,2136,11665,309,3566,603045,757188,6488,156,40593,146177,20896,13955,20038,4127,10688,3818,2379,12322,530,5262,5912,51,713,3215,1472,1628,1337,2703
0.99969,0.993,0.99607,0.997,0.96791,0.95342,0.98295,0.98026,0.99246,0.98986,0.99387,0.96937,0.9759,0.99678,0.98689,0.96061,0.9173,0.97248,0.98342,0.22892,0.9259,0.99335,0.99567,0.98067,0.68116,0.92604,0.99237,0.95118,0.98329,0.99634,0.95829,0.99126,0.95547,0.91855,0.97233,0.73375,0.99605,0.84274,0.5,0.632,0.97934,0.92829,0.98189,0.98467,0.98187
17178824,679637,830890,27655,374,38859,176001,23606,12733,19231,4239,2612,3444,65780,13878,5230,3531,2035,12906,83,5222,705771,857756,20275,310,40981,177613,22511,13582,18601,4507,14301,5165,2210,13515,161,4811,2569,16,875,3485,1408,1490,1696,3199
0.99939,0.99602,0.99579,0.97639,0.71989,0.98192,0.99924,0.97686,0.9871,0.8135,0.91211,0.94811,0.92553,0.98242,0.99705,0.9969,0.95341,0.95805,0.94536,0.67742,0.9858,0.99493,0.99614,0.99064,0.94652,0.99474,0.99946,0.98633,0.99254,0.99079,0.94519,0.98541,0.97352,0.94775,0.96539,0.87755,0.97802,0.65889,0.56522,0.82498,0.88896,0.94239,0.99321,0.97926,0.88207
17218225,687622,843102,11225,357,41695,163842,26572,12089,15769,4380,1426,2833,60530,13882,5164,2811,1621,12884,62,3520,711300,844360,17734,280,40510,166182,22677,12469,17159,4834,14123,4984,2009,12510,220,3320,5230,23,668,3170,2083,2357,2025,3748
0.99977,0.96811,0.99074,0.98159,0.93126,0.95541,0.99584,0.94884,0.91748,0.96479,0.65485,0.95142,0.95985,0.98897,0.98755,0.99271,0.94409,0.93004,0.99481,0.85273,0.9415,0.99865,0.99055,0.96846,0.91936,0.97814,0.99614,0.94184,0.9526,0.85818,0.7619,0.98836,0.92772,0.96007,0.90629,0.60137,0.83119,0.01551,0.11111,0.80847,0.998,0.98683,0.90842,0.96219,0.8957
17871388,590343,645653,17435,1207,38929,138221,22497,9913,15905,4850,1708,2690,60816,11650,4387,2826,1801,12136,210,5008,609275,648873,20196,1624,40705,140686,20322,10443,16337,5040,11513,4870,1878,12357,291,5130,4866,31,861,3001,1290,1146,1084,2195
0.99825,0.9851,0.98848,0.98081,0.93808,0.96633,0.97204,0.99894,0.99409,0.96928,0.91609,0.99908,0.97854,0.99461,0.99524,0.94842,0.96398,0.96563,0.99413,0.94833,0.98984,0.98958,0.99885,0.98766,0.94783,0.96068,0.97794,0.92456,0.98902,0.97012,0.9679,0.96969,0.98173,0.97956,0.99358,0.98194,0.99461,0.81967,0.73333,0.82943,0.97962,0.96713,0.94508,0.95611,0.98918
16403040,885219,979363,18599,646,45059,200777,34112,13538,20377,5816,2168,5079,72382,16815,6959,3858,2095,15674,522,6695,899028,980574,23896,460,46744,193411,29016,13844,22359,5359,16597,6843,2251,15572,387,6869,7353,15,662,3828,2312,1748,1777,3883
